order_id,exchange,timestamp,security_code,price,side,changereason,orderstatus,quantity,leavesquantity,ordertype,exchangeordertype,national_bid,national_offer,bid,offer,participantid,preferenceonly,midtick,singlefillminimumquantity,minimumquantity,sequence,crossingkey,totalmatchedquantity,shortsellquantity,triggercondition,timevaliditydecoded,row_num,timevalidity,date
7904398171642652991,2,1725448942907187008,85603,143380,2,30,1,18,18,1,2048,139000,141000,139000,141000,54,0,2,0,0,109583,0,0,0,0,Current Max,1116,1536,2024-09-04
7904398171642652999,2,1725448942907502764,85603,144000,2,30,1,10,10,1,2048,139000,141000,139000,141000,54,0,2,0,0,109599,0,0,0,0,Current Max,1118,1536,2024-09-04
7904398171642653057,2,1725448942908403628,85603,144980,2,30,1,200,200,1,2048,139000,141000,139000,141000,54,0,2,0,0,109639,0,0,0,0,Current Max,1120,1536,2024-09-04
7904398171642653060,2,1725448942908486791,85603,144000,2,30,1,123,123,1,2048,139000,141000,139000,141000,54,0,2,0,0,109647,0,0,0,0,Current Max,1122,1536,2024-09-04
7904398171642653111,2,1725448942909040559,85603,144750,2,30,1,100,100,1,2048,139000,141000,139000,141000,54,0,2,0,0,109675,0,0,0,0,Current Max,1124,1536,2024-09-04
7904398171642653117,2,1725448944043374014,85603,1140000,2,9,2,8,8,1,2048,139700,140100,139700,140100,54,0,2,0,0,133107,0,0,0,0,Purged Current Max,1907,17920,2024-09-04
7904398171642653186,2,1725448942910827535,85603,143500,2,30,1,200,200,1,2048,139000,141000,139000,141000,54,0,2,0,0,109707,0,0,0,0,Current Max,1128,1536,2024-09-04
7904398171642653316,2,1725448942913465913,85603,143380,2,30,1,560,560,1,2048,139000,141000,139000,141000,54,0,2,0,0,109795,0,0,0,0,Current Max,1134,1536,2024-09-04
7904398171642653395,2,1725448944043374014,85603,143400,2,9,2,12,12,1,2048,139700,140100,139700,140100,54,0,2,0,0,133112,0,0,0,0,Purged Days,1908,17664,2024-09-04
7904398171642653430,2,1725448942916889508,85603,145170,2,30,1,500,500,1,2048,139000,141000,139000,141000,54,0,2,0,0,109899,0,0,0,0,Current Max,1146,1536,2024-09-04
7904398171642653621,2,1725448942922054840,85603,143370,2,30,1,36,36,1,2048,139000,141000,139000,141000,54,0,2,0,0,110051,0,0,0,0,Current Max,1148,1536,2024-09-04
7904398171642704507,2,1725448943033295835,85603,142000,2,30,1,166,166,1,2048,139000,141000,139000,141000,54,0,2,0,0,113399,0,0,0,0,Current Max,1286,1536,2024-09-04
7904398171642744595,2,1725448943069636274,85603,142000,2,30,1,44,44,1,2048,139000,141000,139000,141000,54,0,2,0,0,113907,0,0,0,0,Current Max,1302,1536,2024-09-04
7904398171642763467,2,1725448944043374014,85603,149790,2,9,2,6,6,1,2048,139700,140100,139700,140100,51,0,2,0,0,133240,555,0,0,0,Negative indicator Purged Rest of Day,1921,49408,2024-09-04
7904398171642763472,2,1725448944043374014,85603,126150,1,9,2,500,500,1,2048,139700,140100,139700,140100,51,0,2,0,0,133244,555,0,0,0,Negative indicator Purged Rest of Day,1922,49408,2024-09-04
7904398171642763474,2,1725448944043374014,85603,123500,1,9,2,200,200,1,2048,139700,140100,139700,140100,51,0,2,0,0,133246,555,0,0,0,Negative indicator Purged Rest of Day,1923,49408,2024-09-04
7904398171642763477,2,1725448944043374014,85603,125000,1,9,2,400,400,1,2048,139700,140100,139700,140100,51,0,2,0,0,133248,555,0,0,0,Negative indicator Purged Rest of Day,1924,49408,2024-09-04
7904398171642763503,2,1725448944043374014,85603,138000,1,9,2,30,30,1,2048,139700,140100,139700,140100,51,0,2,0,0,133256,5403626,0,0,0,Negative indicator Purged Rest of Day,1925,49408,2024-09-04
7904398171642763505,2,1725448944043374014,85603,105000,1,9,2,10,10,1,2048,139700,140100,139700,140100,51,0,2,0,0,133258,5403626,0,0,0,Negative indicator Purged Rest of Day,1926,49408,2024-09-04
7904398171642763507,2,1725448944043374014,85603,127000,1,9,2,94,94,1,2048,139700,140100,139700,140100,51,0,2,0,0,133260,5403626,0,0,0,Negative indicator Purged Rest of Day,1927,49408,2024-09-04
7904398171642809386,2,1725448943118727777,85603,142200,2,30,1,1000,1000,1,2048,139000,141000,139000,141000,54,0,2,0,0,114911,0,0,0,0,Current Max,1344,1536,2024-09-04
7904398171642868594,2,1725448944043374014,85603,121330,1,9,2,100,100,1,2048,139700,140100,139700,140100,51,0,2,0,0,133409,555,0,0,0,Negative indicator Purged Rest of Day,1932,49408,2024-09-04
