EXCHANGE,sequence,tradedate,tradetime,securitycode,orderid,dealsource,dealsourcedecoded,exchangeinfo,matchgroupid,nationalbidpricesnapshot,nationalofferpricesnapshot,tradeprice,quantity,side,sidedecoded,participantid,passiveaggressive,row_num
3,3113730,2024-09-05,1725494536001032398,110621,7904794000124112668,45,Auction UCP,ON Market,7904794000123498599,3330,3340,3340,11607,1,Buy,67,0,107
3,3113731,2024-09-05,1725494536001032398,110621,7904794000123852708,45,Auction UCP,ON Market,7904794000123498599,3330,3340,3340,11607,2,Sell,67,0,108
3,3113732,2024-09-05,1725494536001032398,110621,7904794000124112668,20,Auction,ON Market,7904794000123498600,3330,3340,3340,25,1,Buy,67,0,109
3,3113733,2024-09-05,1725494536001032398,110621,7904794000123738231,20,Auction,ON Market,7904794000123498600,3330,3340,3340,25,2,Sell,67,0,110
3,3113734,2024-09-05,1725494536001032398,110621,7904794000124112668,20,Auction,ON Market,7904794000123498601,3330,3340,3340,2552,1,Buy,67,0,111
3,3113735,2024-09-05,1725494536001032398,110621,7904794000123908145,20,Auction,ON Market,7904794000123498601,3330,3340,3340,2552,2,Sell,47,0,112
3,3113736,2024-09-05,1725494536001032398,110621,7904794000124116555,20,Auction,ON Market,7904794000123498602,3330,3340,3340,502,1,Buy,67,0,113
3,3113737,2024-09-05,1725494536001032398,110621,7904794000123908145,20,Auction,ON Market,7904794000123498602,3330,3340,3340,502,2,Sell,47,0,114
3,3113738,2024-09-05,1725494536001032398,110621,7904794000124116555,20,Auction,ON Market,7904794000123498603,3330,3340,3340,1126,1,Buy,67,0,115
3,3113739,2024-09-05,1725494536001032398,110621,7904794000123920603,20,Auction,ON Market,7904794000123498603,3330,3340,3340,1126,2,Sell,47,0,116
3,3113740,2024-09-05,1725494536001032398,110621,7904794000124116555,20,Auction,ON Market,7904794000123498604,3330,3340,3340,1747,1,Buy,67,0,117
3,3113741,2024-09-05,1725494536001032398,110621,7904794000123957515,20,Auction,ON Market,7904794000123498604,3330,3340,3340,1747,2,Sell,47,0,118
3,3113742,2024-09-05,1725494536001032398,110621,7904398175943086536,20,Auction,ON Market,7904794000123498605,3330,3340,3340,294,1,Buy,54,0,119
3,3113743,2024-09-05,1725494536001032398,110621,7904794000123957515,20,Auction,ON Market,7904794000123498605,3330,3340,3340,294,2,Sell,47,0,120
3,3113744,2024-09-05,1725494536001032398,110621,7904398175943540756,20,Auction,ON Market,7904794000123498606,3330,3340,3340,10,1,Buy,54,0,121
3,3113745,2024-09-05,1725494536001032398,110621,7904794000123957515,20,Auction,ON Market,7904794000123498606,3330,3340,3340,10,2,Sell,47,0,122
3,3113746,2024-09-05,1725494536001032398,110621,7904398175945600709,20,Auction,ON Market,7904794000123498607,3330,3340,3340,200,1,Buy,69,0,123
3,3113747,2024-09-05,1725494536001032398,110621,7904794000123957515,20,Auction,ON Market,7904794000123498607,3330,3340,3340,200,2,Sell,47,0,124
3,3113748,2024-09-05,1725494536001032398,110621,7904398175945756932,20,Auction,ON Market,7904794000123498608,3330,3340,3340,1007,1,Buy,27,0,125
